% Model:              negative index.PE and PM.mph
% Version:            COMSOL 4.4.0.248
% Date:               Jun 30 2014, 10:57
% Table:              Table 1 - Global Evaluation 1 (emw.S11)
% freq                                            S-parameter, 11 component (1)                     S-parameter, 21 component (1)
2.58E10                                           0.57465006302322+0.7209672159879279i              -0.2756402172816847+0.2062073660960725i
2.59E10                                           0.5867434966614832+0.712451865840553i             -0.27016490423571893+0.20879568914189942i
2.6E10                                            0.5987134783394218+0.7037149406427881i            -0.2646650490122+0.21125622530316762i
2.61E10                                           0.6105590848445767+0.6947572191352203i            -0.2591428779905748+0.21359021066017597i
2.62E10                                           0.6222777408728929+0.6855737473511361i            -0.2535992233449686+0.21579381509412376i
2.63E10                                           0.6338687945921828+0.6761695775746025i            -0.24803747554946418+0.21787157993722603i
2.64E10                                           0.6453306348915718+0.6665399429567715i            -0.2424574048366712+0.21982006137463742i
2.65E10                                           0.6566603495834659+0.6566849646108297i            -0.23686181177001844+0.2216391429898746i
2.66E10                                           0.6678560854873363+0.6466037232688193i            -0.2312520376402216+0.22332818639386304i
2.67E10                                           0.6789156110591361+0.6362951998612694i            -0.22562959519942996+0.22488633672180713i
2.68E10                                           0.6898365666808233+0.6257582462896919i            -0.21999596559210247+0.22631256441354333i
2.69E10                                           0.7006164512752651+0.6149916017722418i            -0.21435263077036468+0.22760567829219555i
2.7E10                                            0.7112526194752478+0.6039938838363067i            -0.20870108653122332+0.22876432099670807i
2.71E10                                           0.7217422742894121+0.5927635783594484i            -0.20304285753448958+0.2297869626124017i
2.72E10                                           0.7320824623085133+0.5812990295905488i            -0.19737950927995632+0.23067189498622664i
2.73E10                                           0.7422700695541292+0.569598431431262i             -0.19171265918432365+0.23141722698141798i
2.74E10                                           0.7523018157768854+0.5576598192401915i            -0.1860439883636612+0.23202087947874417i
2.75E10                                           0.7621742461625787+0.545481061168452i             -0.18037525475001936+0.23248057916653106i
2.76E10                                           0.7718837203736082+0.53305984862242i              -0.1747083076095202+0.23279385090558505i
2.77E10                                           0.7814263992693994+0.520393685827929i             -0.16904510334384165+0.2329580088404296i
2.78E10                                           0.790796430481501+0.5074784339957293i             -0.16338870674757236+0.23296864610599613i
2.79E10                                           0.7999940537508264+0.49431470318677556i           -0.1577388829462276+0.23282629270666239i
2.8E10                                            0.8090116062327106+0.48089715308663167i           -0.15209968542728142+0.23252522604556852i
2.81E10                                           0.8178421171832849+0.46722073791833235i           -0.1464749953327967+0.23206004239578595i
2.82E10                                           0.8264862495365024+0.4532855576668974i            -0.14086419445731058+0.2314308582447608i
2.83E10                                           0.8349323811236686+0.4390844381112105i            -0.13527402984065864+0.23062976440093946i
2.84E10                                           0.8431809257063088+0.4246160233012316i            -0.1297039181532521+0.22965557448847893i
2.85E10                                           0.8512189331916268+0.4098730944706502i            -0.12416175691612731+0.22850013173254066i
2.86E10                                           0.8590444766601215+0.39485270969095687i           -0.11864852583309561+0.22716050533479334i
2.87E10                                           0.8666494623231197+0.37954944631190973i           -0.11316906118924919+0.2256308397308901i
2.88E10                                           0.8740261288818737+0.3639577444953155i            -0.10772820724076075+0.22390515459611574i
2.89E10                                           0.8811662705231854+0.34807176723171934i           -0.10233116160700145+0.22197718476052686i
2.9E10                                            0.8880610714674834+0.33188532222669215i           -0.09698363750222778+0.21984028853676654i
2.91E10                                           0.8947010265367302+0.3153918176700106i            -0.09169192889914309+0.21748740424462493i
2.92E10                                           0.9010758628204257+0.2985842415316302i            -0.08646298446636205+0.21491102764257541i
2.93E10                                           0.9071744561100201+0.2814551418559066i            -0.08130448627648151+0.2121031909035078i
2.94E10                                           0.9129847389576791+0.263996609005474i             -0.07622493722434866+0.20905544340347235i
2.95E10                                           0.9184935988080911+0.24620025955648794i           -0.0712337582228174+0.2057588340581273i
2.96E10                                           0.9236867642882868+0.22805722299053652i           -0.06634139700955691+0.20220389609011719i
2.97E10                                           0.928548675751317+0.20955813317005567i            -0.06155945202616676+0.1983806355977553i
2.98E10                                           0.9330623331719611+0.1906931276004477i            -0.056900817485939455+0.19427852581468408i
2.99E10                                           0.9371864503129884+0.1714440044696311i            -0.05239744496041665+0.18987760162285355i
